,metro_geocode,metro_geoname,metro_lon,metro_lat,metro_code,metro_total,metro_white,metro_hispanic,metro_black,metro_asian,metro_amind,metro_twoplus,City,State,County,Zip,Country,Source,police_per_1k,offenses_per_1k,median_income
39,27260,"Jacksonville, FL",-81.79216,30.23653,2,100,62.684909999999995,9.224269999999999,21.27874,4.1412,0.31601999999999997,2.35486,Jacksonville,FL,Duval County,32099.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.356904739,78.67690124,64783
40,36420,"Oklahoma City, OK",-97.50404,35.4296,6,100,63.94896,13.6503,10.44116,3.42026,3.81999,4.71934,Oklahoma City,OK,,,US,US Census Bureau,2.1165933569999997,98.00041658,66182
41,39580,"Raleigh, NC",-78.46069,35.757259999999995,6,100,61.10815,10.77913,19.60977,6.14639,0.31396999999999997,2.04258,Raleigh,NC,Wake County,27601.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.8046921999999999,0,76423
42,32820,"Memphis, TN-MS-AR",-89.81543,35.007659999999994,2,100,43.26339,5.72485,47.28525,2.16597,0.18962,1.37093,Memphis,TN,Shelby County,37501.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.994014345,167.4174289,58853
43,40060,"Richmond, VA",-77.47333,37.46197,2,100,57.23856,6.47947,29.60238,4.12878,0.35186999999999996,2.1989400000000003,Richmond,VA,Richmond city,23218.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.6576826560000004,87.17549483,76436
44,31140,"Louisville_Jefferson County, KY-IN",-85.67089,38.3367,2,100,75.84215,5.039540000000001,14.6111,2.225,0.19086,2.09134,Louisville,KY,,,US,US Census Bureau,2.2551154319999998,0,62429
45,35380,"New Orleans-Metairie, LA",-89.94768,29.904790000000002,2,100,51.3737,8.996780000000001,34.9014,2.86154,0.37601999999999997,1.49056,New Orleans,LA,Orleans Parish,70112.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.67582132,114.4071004,58992
46,41620,"Salt Lake City, UT",-113.01057,40.47052,7,100,71.35276,18.21486,1.6845299999999999,5.83408,0.6632100000000001,2.2505599999999997,Salt Lake City,UT,Salt Lake County,84101.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.87712268,138.2992898,71932
47,25540,"Hartford-West Hartford-East Hartford, CT",-72.57729,41.7347,7,100,66.69891,15.23891,10.8507,5.2763800000000005,0.18097,1.7541200000000001,Hartford,CT,Hartford County,6101.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.4520009419999997,93.94315976,84411
48,13820,"Birmingham-Hoover, AL",-86.81376,33.46376,2,100,63.364419999999996,4.53143,29.019679999999997,1.58786,0.25942,1.23719,Birmingham,AL,Jefferson County,35201.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,4.639919454,165.1991793,61110
49,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",-78.73685,42.91121,7,100,77.0937,5.217969999999999,11.96397,3.21505,0.64859,1.8607200000000002,Buffalo,NY,Erie County,14201.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.76811931,97.76584992,64665
50,40380,"Rochester, NY",-77.50784,42.96589,7,100,76.29042,7.609310000000001,11.00159,2.85356,0.24004,2.00508,Rochester,NY,Monroe County,14601.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,4.15501129,83.7116817,66157
51,24340,"Grand Rapids-Wyoming, MI",-85.48822,42.99886,7,100,78.48252,9.6593,6.50623,2.8702900000000002,0.34197,2.1396900000000003,Grand Rapids,MI,Kent County,49501.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.671423154,51.50477977,64906
52,46060,"Tucson, AZ",-111.78953,32.09746,1,100,51.43142,37.55107,3.3891699999999996,3.24251,2.4386200000000002,1.9472200000000002,Tucson,AZ,Pima County,85701.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.8887516,114.1066484,62694
53,23420,"Fresno, CA",-119.64846999999999,36.75833,6,100,29.03831,53.467119999999994,4.63908,10.37872,0.59956,1.8772099999999998,Fresno,CA,Fort Bend County,77545.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.9988041019999998,78.49301829,57159
