,url,title,faves,comments,views,tags,date,datetime,year,month
22,https://www.deviantart.com/alcyoneax/art/Sonic-27th-Anniversary-751193884,Sonic 27th Anniversary,344,18,1000,"['sega', 'sonic', 'sonicfanart', 'sonicthehedgehog', 'segasonicthehedgehog', 'segasonicteam', 'sonic27thaniversary', 'sonic27thanniversary', 'sonic27th']","Jun 23, 2018",2018-06-23,2018,6
23,https://www.deviantart.com/alcyoneax/art/Sonic-Unleashed-10th-Anniversary-773144628,Sonic Unleashed 10th Anniversary,407,52,1000,"['sega', 'sonic', 'werehog', 'sonicworldadventure', 'sonicfanart', 'sonicteam', 'sonicthehedgehog', 'sonicunleashed', 'werehogsonic', 'segasonicteam']","Nov 18, 2018",2018-11-18,2018,11
24,https://www.deviantart.com/allesiathehedge/art/Sonic-and-Sally-in-the-meadow-201069201,Sonic and Sally in the meadow,1000,166,39000,[],"Mar 15, 2011",2011-03-15,2011,3
25,https://www.deviantart.com/amaterasuomikami/art/Sonic-the-Hedgehog-53783738,Sonic the Hedgehog,2000,556,49000,[],"Apr 22, 2007",2007-04-22,2007,4
26,https://www.deviantart.com/amberapple/art/Sonic-Rainboom-stamp-258067395,Sonic Rainboom stamp,1000,86,12000,[],"Sep 12, 2011",2011-09-12,2011,9
27,https://www.deviantart.com/ami-dark/art/Sonic-vs-Shadow-Epic-Battle-576012898,Sonic vs Shadow [Epic Battle],869,83,16000,"['shadowthehedgehog', 'sonicboom', 'sonicthehedgehog', 'eggmanrobotnik']","Dec 4, 2015",2015-12-04,2015,12
28,https://www.deviantart.com/andreahedgehog/art/SONIC-404547386,+SONIC+,856,42,10000,[],"Oct 1, 2013",2013-10-01,2013,10
29,https://www.deviantart.com/anhesart/art/Sonic-the-movie-redesign-796137141,Sonic (the movie) - redesign,443,57,8000,"['furry', 'hedgehog', 'male', 'sonic', 'sonic_the_hedgehog', 'sonic_movie', 'sonic_2019', 'furryanthro', 'anthrocharacter']","May 2, 2019",2019-05-02,2019,5
30,https://www.deviantart.com/animorphs1/art/Sonic-777444149,Sonic,318,31,2000,"['sega', 'sonic', 'sonic_the_hedgehog', 'sonicfancharacter', 'sonicmovie', 'sonicthehedgehog', 'sonicthehedgehogfanart', 'segasonicteam', 'sonicmovie2019']","Dec 20, 2018",2018-12-20,2018,12
31,https://www.deviantart.com/anthocat/art/Sonic-base-couple-1-283242399,Sonic base couple 1,1000,586,47000,[],"Feb 4, 2012",2012-02-04,2012,2
32,https://www.deviantart.com/aoki6311/art/Sonic-sketch-417727182,Sonic sketch,1000,64,28000,[],"Dec 4, 2013",2013-12-04,2013,12
33,https://www.deviantart.com/aoki6311/art/sonic-and-Knuckles-406832847,sonic and Knuckles,1000,45,15000,[],"Oct 12, 2013",2013-10-12,2013,10
34,https://www.deviantart.com/aoki6311/art/sonic-and-Lancelot-415880246,sonic and Lancelot,3000,118,34000,[],"Nov 25, 2013",2013-11-25,2013,11
35,https://www.deviantart.com/aoki6311/art/sonic-and-shadow-3-399562822,sonic and shadow 3,2000,53,24000,[],"Sep 11, 2013",2013-09-11,2013,9
36,https://www.deviantart.com/aoki6311/art/sonic-and-shadow-378082756,sonic and shadow,2000,107,44000,[],"Jun 15, 2013",2013-06-15,2013,6
37,https://www.deviantart.com/aoki6311/art/sonic-and-shadow-4-456118489,sonic and shadow 4,2000,50,21000,[],"May 24, 2014",2014-05-24,2014,5
38,https://www.deviantart.com/aoki6311/art/sonic-and-shadow-5-472104280,sonic and shadow 5,3000,163,39000,[],"Jul 31, 2014",2014-07-31,2014,7
39,https://www.deviantart.com/aoki6311/art/sonic-and-shadow-6-481318418,sonic and shadow 6,2000,162,32000,[],"Sep 9, 2014",2014-09-09,2014,9
40,https://www.deviantart.com/aoki6311/art/sonic-and-shadow-762545850,sonic and shadow,1000,24,6000,['sonic'],"Sep 4, 2018",2018-09-04,2018,9
41,https://www.deviantart.com/aoki6311/art/sonic-boom-432435445,sonic boom,2000,106,23000,[],"Feb 7, 2014",2014-02-07,2014,2
42,https://www.deviantart.com/apallonshinomia/art/Sonic-female-base-410025296,Sonic female base,545,57,12000,[],"Oct 28, 2013",2013-10-28,2013,10
43,https://www.deviantart.com/arvalis/art/Sonic-Human-Concept-81509064,Sonic Human Concept,3000,619,124000,[],"Mar 31, 2008",2008-03-31,2008,3
