metro_geocode,metro_geoname,metro_lon,metro_lat,metro_code,metro_total,metro_white,metro_hispanic,metro_black,metro_asian,metro_amind,metro_twoplus,City,State,County,Zip,Country,Source
12420,"Austin-Round Rock, TX",-97.65448,30.26257,6,100,51.77815,32.65036,7.06636,6.28594,0.28229,1.93689,Austin,TX,Travis County,73301,US,TIGER/Lineå¨ dataset from the US Census Bureau
28140,"Kansas City, MO-KS",-94.44446,38.93693,7,100,72.42256,9.16936,12.34711,3.17482,0.40319,2.48296,Kansas City,MO,Jackson County,64101,US,TIGER/Lineå¨ dataset from the US Census Bureau
18140,"Columbus, OH",-82.83679,39.96767,2,100,72.37642,4.33811,15.86497,4.68844,0.19909,2.53297,Columbia,MD,Howard County,21044,US,TIGER/Lineå¨ dataset from the US Census Bureau
17460,"Cleveland-Elyria, OH",-81.68389,41.37552,2,100,69.62925,6.04971,19.75577,2.52264,0.15474,1.88789,Cleveland,OH,Cuyahoga County,44101,US,TIGER/Lineå¨ dataset from the US Census Bureau
26900,"Indianapolis-Carmel-Anderson, IN",-86.20622,39.7475,2,100,72.00502,6.88109,15.38647,3.4269,0.19412,2.10641,Indianapolis,IN,Marion County,46201,US,TIGER/Lineå¨ dataset from the US Census Bureau
41940,"San Jose-Sunnyvale-Santa Clara, CA",-121.37506,36.9093,6,100,31.12455,26.40084,2.31238,36.91248,0.20379,3.04596,San Jose,CA,Santa Clara County,95101,US,TIGER/Lineå¨ dataset from the US Census Bureau
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",-86.72449,36.08915,2,100,72.10467,7.46582,15.2509,2.93377,0.27178,1.97306,Nashville,MI,Barry County,49073,US,TIGER/Lineå¨ dataset from the US Census Bureau
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",-76.45292,36.83444,2,100,54.91571,7.02069,30.30884,4.16606,0.34638,3.24232,Virginia Beach,VA,,,US,US Census Bureau
39300,"Providence-Warwick, RI-MA",-71.39976,41.7181,7,100,75.62851,13.31599,5.50422,3.1767,0.36482,2.00976,Providence,RI,Providence County,2901,US,TIGER/Lineå¨ dataset from the US Census Bureau
33340,"Milwaukee-Waukesha-West Allis, WI",-88.17279,43.17655,2,100,66.34689,10.90975,16.37979,4.04114,0.44457,1.87785,Milwaukee,WI,Milwaukee County,53201,US,TIGER/Lineå¨ dataset from the US Census Bureau
