Date,Subs,Name,Views
2015-07-15,8256,Jinx,1904256
2015-07-16,8516,Jinx,1826872
2015-07-17,7952,Jinx,3786454
2015-07-18,8055,Jinx,1823423
2015-07-19,8852,Jinx,0
2015-07-20,7291,Jinx,0
2015-07-21,8588,Jinx,3776596
2015-07-22,9957,Jinx,2252642
2015-07-23,6740,Jinx,1979891
2015-07-24,7899,Jinx,1783490
2015-07-25,7652,Jinx,1585565
2015-07-26,8094,Jinx,1417969
2015-07-27,8870,Jinx,1498022
2015-07-28,8502,Jinx,0
2015-07-29,8001,Jinx,3336947
2015-07-30,9661,Jinx,1760918
2015-07-31,8119,Jinx,1812686
2015-08-01,7385,Jinx,1928437
2015-08-02,7842,Jinx,1783037
2015-08-03,7629,Jinx,0
2015-08-04,7392,Jinx,1779817
2015-08-05,6757,Jinx,3771328
2015-08-06,6482,Jinx,1831082
2015-08-07,5003,Jinx,1699804
2015-08-08,6255,Jinx,0
2015-08-09,4856,Jinx,3240190
2015-08-10,3847,Jinx,0
2015-08-11,8861,Jinx,3396101
2015-08-12,7399,Jinx,1645271
2015-08-13,6360,Jinx,1739094
2015-08-14,5810,Jinx,1747868
2015-08-15,5496,Jinx,-4727983
2015-08-16,6063,Jinx,1512804
2015-08-17,5748,Jinx,0
2015-08-18,5904,Jinx,2755886
2015-08-19,5040,Jinx,1557807
2015-08-20,5151,Jinx,1522834
2015-08-21,4922,Jinx,1440508
2015-08-22,5853,Jinx,1354584
2015-08-23,4459,Jinx,1517496
2015-08-24,4949,Jinx,0
2015-08-25,4629,Jinx,2826609
2015-08-26,4608,Jinx,1275622
2015-08-27,4678,Jinx,1382300
2015-08-28,5592,Jinx,1321630
2015-08-29,5522,Jinx,1423830
2015-08-30,6616,Jinx,1521761
2015-08-31,2349,Jinx,1611926
2015-09-01,6842,Jinx,890368
2015-09-02,4525,Jinx,1233412
2015-09-03,3702,Jinx,1089873
2015-09-04,4175,Jinx,951372
2015-09-05,4361,Jinx,1174967
2015-09-06,4512,Jinx,1314605
2015-09-07,3746,Jinx,0
2015-09-08,3299,Jinx,2775397
2015-09-09,3829,Jinx,1164008
2015-09-10,3483,Jinx,981851
2015-09-11,5366,Jinx,1033089
2015-09-12,4679,Jinx,1024203
2015-09-13,4439,Jinx,1525457
2015-09-14,5425,Jinx,1443934
2015-09-15,3911,Jinx,1219851
2015-09-16,3149,Jinx,1104723
2015-09-17,3346,Jinx,883037
2015-09-18,4377,Jinx,997461
2015-09-19,3330,Jinx,871815
2015-09-20,3829,Jinx,1065642
2015-09-21,3032,Jinx,1763940
2015-09-22,4425,Jinx,991031
2015-09-23,3182,Jinx,1245986
2015-09-24,2786,Jinx,1025870
2015-09-25,3381,Jinx,1086820
2015-09-26,3157,Jinx,911842
2015-09-27,2855,Jinx,1217472
2015-09-28,2910,Jinx,1173120
2015-09-29,2987,Jinx,1045691
2015-09-30,2506,Jinx,918071
2015-10-01,2765,Jinx,982212
2015-10-02,2025,Jinx,878864
2015-10-03,3887,Jinx,913888
2015-10-04,2779,Jinx,1204935
2015-10-05,2779,Jinx,1138920
2015-10-06,2907,Jinx,991036
2015-10-07,3173,Jinx,1023139
2015-10-08,2558,Jinx,883369
2015-10-09,3663,Jinx,919676
2015-10-10,2858,Jinx,1081540
2015-10-11,3421,Jinx,1055402
2015-10-12,2931,Jinx,1352262
2015-10-13,3342,Jinx,1150383
2015-10-14,2607,Jinx,910620
2015-10-15,2488,Jinx,887578
2015-10-16,3595,Jinx,1048285
2015-10-17,3919,Jinx,1145923
2015-10-18,2728,Jinx,1111602
2015-10-19,2498,Jinx,0
2015-10-20,2741,Jinx,2049884
2015-10-21,2893,Jinx,1012173
2015-10-22,2901,Jinx,910392
2015-10-23,3940,Jinx,1058520
2015-10-24,4531,Jinx,1055540
