"","X","per","ts_pct","usg_pct","bpm","vorp","age","win_pct","g","pts_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","fg_pct","fg3_pct","ft_pct","ws","ws_per_48"
"42",41,19.5,0.527,24.6,3.3,2.9,28,0.51219512195122,61,18.6,11.8,2.7,1,1.5,0.466,0.2,0.76,6.5,0.141
"43",42,16.4,0.57,23.3,1.2,2.5,22,0.475609756097561,82,21.6,5.4,3.3,1.1,0.2,0.496,0.227,0.797,7.5,0.117
"44",43,22.2,0.596,25.3,4.1,4.6,28,0.560975609756098,82,25.4,6.8,5.3,1.1,1.5,0.551,0,0.84,9.5,0.152
"45",44,19.8,0.6,25.3,2.7,3.4,25,0.548780487804878,79,23.2,5.9,3.6,1,0.3,0.566,0.2,0.705,8.7,0.147
"46",45,24.2,0.631,27.9,4.6,5.3,25,0.304878048780488,81,30.3,6.3,4,1.2,0.2,0.57,0.333,0.792,12.6,0.187
"47",46,19,0.527,27.4,3.9,4.1,27,0.536585365853659,82,20.4,4,6,2.4,0.5,0.462,0.167,0.832,7.9,0.139
"48",47,14.3,0.556,17.5,1.2,1.8,25,0.695121951219512,76,11.9,3.5,3,1.6,0.8,0.517,0.118,0.813,5,0.109
"49",48,23.1,0.608,26,1.3,2.1,33,0.560975609756098,81,22.9,7.5,2.2,0.8,0.7,0.527,0.667,0.834,9.8,0.19
"50",49,18,0.566,22.1,2.9,2.4,25,0.670731707317073,60,16.5,6.1,3.6,1,0.6,0.532,0,0.7,6.2,0.158
"51",50,14.5,0.487,25,-1,0.6,20,0.475609756097561,72,17,2.9,7.8,2.1,0.2,0.424,0.288,0.704,2.3,0.046
"52",51,16.7,0.54,23.6,1.7,2.7,27,0.560975609756098,80,19.5,5.1,4.6,1.3,0.7,0.47,0.19,0.806,8.1,0.132
"53",52,19.2,0.548,22.9,3,4,27,0.51219512195122,79,20.8,11.7,4,0.9,1.4,0.523,0,0.628,8.2,0.125
"54",53,18.7,0.532,28.6,0.3,1.5,22,0.341463414634146,81,21.4,7,2.2,1.1,0.3,0.497,0.25,0.716,5.6,0.102
"55",54,16.5,0.554,23.6,-0.7,1,28,0.695121951219512,82,21.1,4.8,1.7,1.1,0.3,0.525,0,0.732,7.7,0.127
"56",55,17.2,0.603,18.2,1.8,2.7,21,0.536585365853659,82,15.5,12.3,1.3,1,1,0.582,0,0.624,8.9,0.152
