,State,Code,Name,County,Violent,Murder,Rape,Robbery,Aggravated_Assault,Property,Burglary,Larceny,MotorVehicle,Arson,Total,pop_est,normalized
1274,VIRGINIA,VA,Loudoun,Loudoun County,376,5,179,48,144,"2,384",132,"2,101",151,18,5538,413538,13.39175602
1275,VIRGINIA,VA,Louisa,Louisa County,42,0,9,3,30,358,25,293,40,2,802,37591,21.33489399
1276,OKLAHOMA,OK,Love,Love County,9,0,2,0,7,116,33,70,13,1,251,10253,24.48063981
1277,TEXAS,TX,Lubbock,Lubbock County,25,1,9,0,15,366,79,254,33,1,783,310569,2.521178868
1278,OHIO,OH,Lucas,Lucas County,104,0,31,30,43,950,155,729,66,4,2112,428348,4.930570471
1279,MICHIGAN,MI,Luce,Luce County,22,0,5,0,17,69,24,44,1,1,183,6229,29.37871247
1280,NEW MEXICO,NM,Luna,Luna County,70,1,0,1,68,272,105,130,37,,684,23709,28.84980387
1281,VIRGINIA,VA,Lunenburg,Lunenburg County,8,2,3,0,3,40,13,22,5,0,96,12196,7.871433257
1282,PENNSYLVANIA,PA,Lycoming,Lycoming County,0,0,0,0,0,0,0,0,0,0,0,113299,0
1283,SOUTH DAKOTA,SD,Lyman,Lyman County,1,0,0,0,1,11,5,6,0,0,24,3781,6.347527109
1284,TEXAS,TX,Lynn,Lynn County,0,0,0,0,0,25,7,11,7,0,50,5951,8.401949252
1288,KENTUCKY,KY,Lyon,Lyon County,0,0,0,0,0,41,22,17,2,0,82,8210,9.987819732
1287,NEVADA,NV,Lyon,Lyon County,159,1,10,8,140,569,140,389,40,8,1464,57510,25.45644236
1285,KANSAS,KS,Lyon,Lyon County,16,0,2,1,13,61,14,41,6,1,155,33195,4.669377918
1286,MINNESOTA,MN,Lyon,Lyon County,5,0,1,0,4,11,6,4,1,0,32,25474,1.256182775
1289,MICHIGAN,MI,Mackinac,Mackinac County,11,1,4,0,6,121,22,96,3,0,264,10799,24.44670803
1290,MICHIGAN,MI,Macomb,Macomb County,321,2,62,21,236,"1,081",152,826,103,7,2811,873972,3.216350181
1291,MISSOURI,MO,Macon,Macon County,6,1,0,0,5,72,27,44,1,0,156,15117,10.31950784
1292,ILLINOIS,IL,Macon,Macon County,39,0,5,1,33,355,71,275,9,2,790,104009,7.595496544
1293,TENNESSEE,TN,Macon,Macon County,51,0,0,0,51,128,38,65,25,0,358,24602,14.55166247
1294,ALABAMA,AL,Macon,Macon County,19,1,4,2,12,68,29,21,18,0,174,18068,9.630285588
1295,ILLINOIS,IL,Macoupin,Macoupin County,25,3,2,1,19,255,59,177,19,0,560,44926,12.46494235
1296,CALIFORNIA,CA,Madera,Madera County,453,3,32,16,402,"1,138",469,640,29,7,3189,157327,20.26988375
1307,TEXAS,TX,Madison,Madison County,7,0,2,0,5,64,21,38,5,0,142,14284,9.941192943
1308,LOUISIANA,LA,Madison,Madison County,20,2,1,1,16,27,8,16,3,0,94,10951,8.583690987
1309,MISSOURI,MO,Madison,Madison County,10,0,1,0,9,31,5,25,1,0,82,12088,6.783587028
1304,GEORGIA,GA,Madison,Madison County,90,0,3,3,84,405,60,311,34,0,990,29880,33.13253012
1311,INDIANA,IN,Madison,Madison County,32,2,14,2,14,449,109,321,19,2,964,129569,7.440051247
1312,FLORIDA,FL,Madison,Madison County,137,0,13,3,121,173,71,99,3,0,620,18493,33.5261991
1313,MONTANA,MT,Madison,Madison County,7,0,2,0,5,67,17,49,1,0,148,8600,17.20930233
