Notes,State,State Code,Year,Year Code,Deaths,Population,Crude Rate,Rate
,Nevada,32,2015,2015,134,2890845,4.6,4.63532289
,Nevada,32,2016,2016,151,2940058,5.1,5.1359531
,Nevada,32,2017,2017,158,2998039,5.3,5.270111563
,Nevada,32,2018,2018,161,3034392,5.3,5.305840511
Total,Nevada,32,,,2336,51369778,4.5,4.547420859
,New Hampshire,33,2000,2000,11,1235786,Unreliable,0.8901217525
,New Hampshire,33,2001,2001,12,1255517,Unreliable,0.9557815625
,New Hampshire,33,2003,2003,11,1279840,Unreliable,0.8594824353
,New Hampshire,33,2004,2004,12,1290121,Unreliable,0.930145312
,New Hampshire,33,2006,2006,13,1308389,Unreliable,0.9935882983
,New Hampshire,33,2010,2010,12,1316470,Unreliable,0.9115285574
,New Hampshire,33,2011,2011,11,1318194,Unreliable,0.8344750469
,New Hampshire,33,2012,2012,17,1320718,Unreliable,1.287178641
,New Hampshire,33,2015,2015,12,1330608,Unreliable,0.9018433678
,New Hampshire,33,2017,2017,12,1342795,Unreliable,0.8936583767
,New Hampshire,33,2018,2018,15,1356458,Unreliable,1.10582119
Total,New Hampshire,33,,,206,26074106,0.8,0.7900558508
,New Jersey,34,1999,1999,161,8359592,1.9,1.925931313
,New Jersey,34,2000,2000,184,8414350,2.2,2.186740509
,New Jersey,34,2001,2001,196,8492671,2.3,2.307872282
,New Jersey,34,2002,2002,236,8552643,2.8,2.759380931
,New Jersey,34,2003,2003,267,8601402,3.1,3.104145115
,New Jersey,34,2004,2004,263,8634561,3,3.045898917
,New Jersey,34,2005,2005,293,8651974,3.4,3.386510408
,New Jersey,34,2006,2006,315,8661679,3.6,3.63670831
,New Jersey,34,2007,2007,279,8677885,3.2,3.21506911
,New Jersey,34,2008,2008,253,8711090,2.9,2.904343773
,New Jersey,34,2009,2009,235,8755602,2.7,2.683995915
,New Jersey,34,2010,2010,265,8791894,3,3.01414007
,New Jersey,34,2011,2011,292,8821155,3.3,3.310224115
,New Jersey,34,2012,2012,277,8864590,3.1,3.12479201
,New Jersey,34,2013,2013,301,8899339,3.4,3.382273672
,New Jersey,34,2014,2014,268,8938175,3,2.998374948
,New Jersey,34,2015,2015,274,8958013,3.1,3.058714025
,New Jersey,34,2016,2016,304,8944469,3.4,3.398748433
,New Jersey,34,2017,2017,265,9005644,2.9,2.942599108
,New Jersey,34,2018,2018,220,8908520,2.5,2.469546008
Total,New Jersey,34,,,5148,174645248,2.9,2.947689708
,New Mexico,35,1999,1999,102,1808082,5.6,5.641337063
,New Mexico,35,2000,2000,109,1819046,6,5.99215193
,New Mexico,35,2001,2001,76,1831690,4.1,4.149173714
,New Mexico,35,2002,2002,88,1855309,4.7,4.743145212
,New Mexico,35,2003,2003,105,1877574,5.6,5.592322859
,New Mexico,35,2004,2004,89,1903808,4.7,4.67484116
,New Mexico,35,2005,2005,82,1932274,4.2,4.243704568
,New Mexico,35,2006,2006,77,1962137,3.9,3.924292748
,New Mexico,35,2007,2007,88,1990070,4.4,4.421955007
,New Mexico,35,2008,2008,88,2010662,4.4,4.376667983
,New Mexico,35,2009,2009,95,2036802,4.7,4.664174525
,New Mexico,35,2010,2010,81,2059179,3.9,3.933606549
,New Mexico,35,2011,2011,75,2082224,3.6,3.601917949
,New Mexico,35,2012,2012,81,2085538,3.9,3.883889912
,New Mexico,35,2013,2013,84,2085287,4,4.028222494
,New Mexico,35,2014,2014,78,2085572,3.7,3.739981166
,New Mexico,35,2015,2015,92,2085109,4.4,4.41223936
,New Mexico,35,2016,2016,117,2081015,5.6,5.622256447
,New Mexico,35,2017,2017,107,2088070,5.1,5.124349279
,New Mexico,35,2018,2018,139,2095428,6.6,6.633489674
Total,New Mexico,35,,,1853,39774876,4.7,4.658719741
,New York,36,1999,1999,563,18882725,3,2.981561189
,New York,36,2000,2000,625,18976457,3.3,3.293554745
,New York,36,2001,2001,604,19082838,3.2,3.165147658
,New York,36,2002,2002,566,19137800,3,2.957497727
,New York,36,2003,2003,611,19175939,3.2,3.186284646
,New York,36,2004,2004,538,19171567,2.8,2.806239052
,New York,36,2005,2005,548,19132610,2.9,2.86421978
,New York,36,2006,2006,582,19104631,3,3.046381791
,New York,36,2007,2007,530,19132335,2.8,2.770179385
,New York,36,2008,2008,519,19212436,2.7,2.701375297
,New York,36,2009,2009,517,19307066,2.7,2.677776105
,New York,36,2010,2010,540,19378102,2.8,2.786650622
,New York,36,2011,2011,475,19465197,2.4,2.440252724
,New York,36,2012,2012,439,19570261,2.2,2.243199516
,New York,36,2013,2013,382,19651127,1.9,1.943908866
,New York,36,2014,2014,382,19746227,1.9,1.934546787
,New York,36,2015,2015,413,19795791,2.1,2.086302083
,New York,36,2016,2016,394,19745289,2,1.995412678
,New York,36,2017,2017,320,19849399,1.6,1.612139491
,New York,36,2018,2018,363,19542209,1.9,1.857517745
Total,New York,36,,,9911,387060006,2.6,2.560584883
,North Carolina,37,1999,1999,484,7949361,6.1,6.088539695
,North Carolina,37,2000,2000,486,8049313,6,6.037782355
,North Carolina,37,2001,2001,450,8210122,5.5,5.481039137
,North Carolina,37,2002,2002,493,8326201,5.9,5.921067723
,North Carolina,37,2003,2003,428,8422501,5.1,5.081625992
,North Carolina,37,2004,2004,434,8553152,5.1,5.07415278
,North Carolina,37,2005,2005,478,8705407,5.5,5.490840348
,North Carolina,37,2006,2006,458,8917270,5.1,5.136101071
,North Carolina,37,2007,2007,496,9118037,5.4,5.439767353
,North Carolina,37,2008,2008,480,9309449,5.2,5.156051663
,North Carolina,37,2009,2009,426,9449566,4.5,4.508143549
,North Carolina,37,2010,2010,406,9535483,4.3,4.257781174
,North Carolina,37,2011,2011,418,9656401,4.3,4.328734898
,North Carolina,37,2012,2012,451,9752073,4.6,4.624657752
,North Carolina,37,2013,2013,430,9848060,4.4,4.366342203
,North Carolina,37,2014,2014,430,9943964,4.3,4.324231262
,North Carolina,37,2015,2015,477,10042802,4.7,4.74967046
,North Carolina,37,2016,2016,585,10146788,5.8,5.765371268
,North Carolina,37,2017,2017,565,10273419,5.5,5.499629675
,North Carolina,37,2018,2018,519,10383620,5,4.99825687
Total,North Carolina,37,,,9394,184592989,5.1,5.089034015
,North Dakota,38,2003,2003,13,638817,Unreliable,2.035011592
,North Dakota,38,2011,2011,10,683932,Unreliable,1.462133662
,North Dakota,38,2015,2015,13,756927,Unreliable,1.717470773
,North Dakota,38,2016,2016,13,757952,Unreliable,1.715148189
,North Dakota,38,2018,2018,14,760077,Unreliable,1.841918648
Total,North Dakota,38,,,160,13667456,1.2,1.170664094
,Ohio,39,1999,1999,290,11335454,2.6,2.558344818
,Ohio,39,2000,2000,288,11353140,2.5,2.536743139
,Ohio,39,2001,2001,342,11387404,3,3.003318403
,Ohio,39,2002,2002,372,11407889,3.3,3.260901294
,Ohio,39,2003,2003,342,11434788,3,2.990873115
,Ohio,39,2004,2004,360,11452251,3.1,3.143486813
,Ohio,39,2005,2005,432,11463320,3.8,3.768541749
,Ohio,39,2006,2006,476,11481213,4.1,4.145903399
,Ohio,39,2007,2007,427,11500468,3.7,3.71289238
,Ohio,39,2008,2008,414,11515391,3.6,3.595188387
,Ohio,39,2009,2009,385,11528896,3.3,3.339435103
,Ohio,39,2010,2010,404,11536504,3.5,3.501927447
,Ohio,39,2011,2011,471,11544951,4.1,4.079705492
,Ohio,39,2012,2012,445,11544225,3.9,3.854741223
,Ohio,39,2013,2013,468,11570808,4,4.044661358
,Ohio,39,2014,2014,440,11594163,3.8,3.79501306
,Ohio,39,2015,2015,499,11613423,4.3,4.296752129
,Ohio,39,2016,2016,569,11614373,4.9,4.899102173
,Ohio,39,2017,2017,640,11658609,5.5,5.489505652
,Ohio,39,2018,2018,561,11689442,4.8,4.799202562
Total,Ohio,39,,,8625,230226712,3.7,3.746307249
,Oklahoma,40,1999,1999,178,3437147,5.2,5.178713625
,Oklahoma,40,2000,2000,136,3450654,3.9,3.941281856
,Oklahoma,40,2001,2001,139,3467100,4,4.009114245
,Oklahoma,40,2002,2002,126,3489080,3.6,3.611267154
,Oklahoma,40,2003,2003,154,3504892,4.4,4.393858641
,Oklahoma,40,2004,2004,134,3525233,3.8,3.801167185
,Oklahoma,40,2005,2005,152,3548597,4.3,4.283382982
,Oklahoma,40,2006,2006,161,3594090,4.5,4.479576193
,Oklahoma,40,2007,2007,159,3634349,4.4,4.374923817
,Oklahoma,40,2008,2008,159,3668976,4.3,4.333634235
,Oklahoma,40,2009,2009,163,3717572,4.4,4.384582195
,Oklahoma,40,2010,2010,155,3751351,4.1,4.131844767
,Oklahoma,40,2011,2011,184,3791508,4.9,4.85295033
,Oklahoma,40,2012,2012,200,3814820,5.2,5.242711321
,Oklahoma,40,2013,2013,193,3850568,5,5.012247544
,Oklahoma,40,2014,2014,172,3878051,4.4,4.435217587
,Oklahoma,40,2015,2015,230,3911338,5.9,5.880340692
,Oklahoma,40,2016,2016,247,3923561,6.3,6.295301641
,Oklahoma,40,2017,2017,234,3930864,6,5.952889746
,Oklahoma,40,2018,2018,189,3943079,4.8,4.793208556
Total,Oklahoma,40,,,3465,73832830,4.7,4.69303425
,Oregon,41,1999,1999,73,3393941,2.2,2.150891839
,Oregon,41,2000,2000,68,3421399,2,1.987491082
,Oregon,41,2001,2001,65,3467937,1.9,1.874313172
,Oregon,41,2002,2002,73,3513424,2.1,2.077745242
,Oregon,41,2003,2003,56,3547376,1.6,1.578631642
,Oregon,41,2004,2004,75,3569463,2.1,2.101156392
,Oregon,41,2005,2005,61,3613202,1.7,1.688253245
,Oregon,41,2006,2006,64,3670883,1.7,1.743449737
,Oregon,41,2007,2007,49,3722417,1.3,1.316349028
,Oregon,41,2008,2008,55,3768748,1.5,1.459370592
,Oregon,41,2009,2009,60,3808600,1.6,1.57538203
,Oregon,41,2010,2010,64,3831074,1.7,1.670549825
,Oregon,41,2011,2011,66,3871859,1.7,1.704607528
,Oregon,41,2012,2012,57,3899353,1.5,1.461780967
,Oregon,41,2013,2013,61,3930065,1.6,1.552137178
,Oregon,41,2014,2014,59,3970239,1.5,1.486056633
,Oregon,41,2015,2015,101,4028977,2.5,2.506839826
,Oregon,41,2016,2016,85,4093465,2.1,2.076480439
,Oregon,41,2017,2017,77,4142776,1.9,1.858657094
,Oregon,41,2018,2018,72,4190713,1.7,1.718084727
Total,Oregon,41,,,1341,75455911,1.8,1.777196753
,Pennsylvania,42,1999,1999,464,12263805,3.8,3.783491339
,Pennsylvania,42,2000,2000,481,12281054,3.9,3.916601946
,Pennsylvania,42,2001,2001,467,12298970,3.8,3.797065933
,Pennsylvania,42,2002,2002,481,12331031,3.9,3.900728171
,Pennsylvania,42,2003,2003,487,12374658,3.9,3.935462297
,Pennsylvania,42,2004,2004,530,12410722,4.3,4.270500943
,Pennsylvania,42,2005,2005,567,12449990,4.6,4.554220525
,Pennsylvania,42,2006,2006,623,12510809,5,4.979693959
,Pennsylvania,42,2007,2007,577,12563937,4.6,4.592509498
,Pennsylvania,42,2008,2008,556,12612285,4.4,4.408400222
,Pennsylvania,42,2009,2009,506,12666858,4,3.994676501
,Pennsylvania,42,2010,2010,533,12702379,4.2,4.196064375
,Pennsylvania,42,2011,2011,532,12742886,4.2,4.174878438
,Pennsylvania,42,2012,2012,612,12763536,4.8,4.794909498
,Pennsylvania,42,2013,2013,508,12773801,4,3.976889886
,Pennsylvania,42,2014,2014,480,12787209,3.8,3.753751112
,Pennsylvania,42,2015,2015,538,12802503,4.2,4.202303253
,Pennsylvania,42,2016,2016,554,12784227,4.3,4.33346498
,Pennsylvania,42,2017,2017,615,12805537,4.8,4.802609996
,Pennsylvania,42,2018,2018,602,12807060,4.7,4.700532363
Total,Pennsylvania,42,,,10713,251733257,4.3,4.255695146
,Rhode Island,44,1999,1999,21,1040402,2,2.01845056
,Rhode Island,44,2000,2000,27,1048319,2.6,2.575551907
,Rhode Island,44,2001,2001,21,1057142,2,1.986488097
,Rhode Island,44,2002,2002,25,1065995,2.3,2.34522676
,Rhode Island,44,2003,2003,21,1071342,2,1.960158381
,Rhode Island,44,2004,2004,18,1074579,Unreliable,1.675074611
,Rhode Island,44,2005,2005,20,1067916,1.9,1.872806475
,Rhode Island,44,2006,2006,20,1063096,1.9,1.881297644
,Rhode Island,44,2007,2007,13,1057315,Unreliable,1.229529516
,Rhode Island,44,2008,2008,20,1055003,1.9,1.895729206
,Rhode Island,44,2009,2009,15,1053646,Unreliable,1.42362805
,Rhode Island,44,2010,2010,17,1052567,Unreliable,1.615099086
,Rhode Island,44,2011,2011,12,1051302,Unreliable,1.141441755
,Rhode Island,44,2012,2012,15,1050292,Unreliable,1.42817426
,Rhode Island,44,2013,2013,19,1051511,Unreliable,1.80692356
,Rhode Island,44,2014,2014,13,1055173,Unreliable,1.232025459
,Rhode Island,44,2015,2015,11,1056298,Unreliable,1.041372794
,Rhode Island,44,2016,2016,13,1056426,Unreliable,1.230564185
,Rhode Island,44,2017,2017,10,1059639,Unreliable,0.9437176246
,Rhode Island,44,2018,2018,13,1057315,Unreliable,1.229529516
Total,Rhode Island,44,,,344,21145278,1.6,1.626840754
,South Carolina,45,1999,1999,253,3974682,6.4,6.365289097
,South Carolina,45,2000,2000,187,4012012,4.7,4.661003008
,South Carolina,45,2001,2001,245,4064995,6,6.027067684
,South Carolina,45,2002,2002,258,4107795,6.3,6.280741858
,South Carolina,45,2003,2003,260,4150297,6.3,6.264611906
,South Carolina,45,2004,2004,237,4210921,5.6,5.628222425
,South Carolina,45,2005,2005,269,4270150,6.3,6.299544512
,South Carolina,45,2006,2006,291,4357847,6.7,6.677609379
,South Carolina,45,2007,2007,269,4444110,6.1,6.052955485
,South Carolina,45,2008,2008,263,4528996,5.8,5.807026546
,South Carolina,45,2009,2009,252,4589872,5.5,5.490349186
,South Carolina,45,2010,2010,249,4625364,5.4,5.383360099
,South Carolina,45,2011,2011,270,4679230,5.8,5.770180136
,South Carolina,45,2012,2012,299,4723723,6.3,6.329753036
,South Carolina,45,2013,2013,259,4774839,5.4,5.424266661
,South Carolina,45,2014,2014,279,4832482,5.8,5.773430713
,South Carolina,45,2015,2015,372,4896146,7.6,7.597812647
,South Carolina,45,2016,2016,357,4961119,7.2,7.195957202
,South Carolina,45,2017,2017,353,5024369,7,7.025757861
,South Carolina,45,2018,2018,391,5084127,7.7,7.690602536
Total,South Carolina,45,,,5613,90313076,6.2,6.215046867
,South Dakota,46,1999,1999,13,750412,Unreliable,1.732381678
,South Dakota,46,2001,2001,10,757972,Unreliable,1.319309948
,South Dakota,46,2002,2002,10,760020,Unreliable,1.315754849
,South Dakota,46,2003,2003,11,763729,Unreliable,1.440301468
,South Dakota,46,2004,2004,13,770396,Unreliable,1.68744386
,South Dakota,46,2005,2005,11,775493,Unreliable,1.41845252
,South Dakota,46,2008,2008,14,799124,Unreliable,1.751918351
,South Dakota,46,2009,2009,14,807067,Unreliable,1.734676303
,South Dakota,46,2014,2014,10,853175,Unreliable,1.172092478
,South Dakota,46,2015,2015,20,858469,2.3,2.329728855
,South Dakota,46,2016,2016,19,865454,Unreliable,2.195379535
,South Dakota,46,2017,2017,13,869666,Unreliable,1.49482675
,South Dakota,46,2018,2018,23,882235,2.6,2.607015138
Total,South Dakota,46,,,225,16159205,1.4,1.392395232
,Tennessee,47,1999,1999,333,5638706,5.9,5.905610259
,Tennessee,47,2000,2000,387,5689283,6.8,6.802263132
,Tennessee,47,2001,2001,356,5750789,6.2,6.19045491
,Tennessee,47,2002,2002,369,5795918,6.4,6.366549699
,Tennessee,47,2003,2003,336,5847812,5.7,5.745738748
,Tennessee,47,2004,2004,324,5910809,5.5,5.481483161
,Tennessee,47,2005,2005,407,5991057,6.8,6.793458984
,Tennessee,47,2006,2006,360,6088766,5.9,5.912528089
,Tennessee,47,2007,2007,365,6175727,5.9,5.910235346
,Tennessee,47,2008,2008,353,6247411,5.7,5.650340597
,Tennessee,47,2009,2009,376,6306019,6,5.96255736
,Tennessee,47,2010,2010,325,6346105,5.1,5.121251539
,Tennessee,47,2011,2011,336,6403353,5.2,5.247250932
,Tennessee,47,2012,2012,352,6456243,5.5,5.452087228
,Tennessee,47,2013,2013,328,6495978,5,5.049278184
,Tennessee,47,2014,2014,325,6549352,5,4.96232299
,Tennessee,47,2015,2015,393,6600299,6,5.954275708
,Tennessee,47,2016,2016,453,6651194,6.8,6.810807202
,Tennessee,47,2017,2017,489,6715984,7.3,7.28113706
,Tennessee,47,2018,2018,515,6770010,7.6,7.607078867
Total,Tennessee,47,,,7482,124430815,6,6.012979984
,Texas,48,1999,1999,860,20558220,4.2,4.183241545
,Texas,48,2000,2000,864,20851820,4.1,4.143523203
,Texas,48,2001,2001,931,21319622,4.4,4.366869169
,Texas,48,2002,2002,942,21690325,4.3,4.34295014
,Texas,48,2003,2003,1031,22030931,4.7,4.679784073
,Texas,48,2004,2004,986,22394023,4.4,4.402960558
,Texas,48,2005,2005,1071,22778123,4.7,4.701879957
,Texas,48,2006,2006,1078,23359580,4.6,4.614808999
,Texas,48,2007,2007,1107,23831983,4.6,4.645018419
,Texas,48,2008,2008,1052,24309039,4.3,4.327608344
,Texas,48,2009,2009,1058,24801761,4.3,4.265826124
,Texas,48,2010,2010,967,25145561,3.8,3.845609171
,Texas,48,2011,2011,869,25674681,3.4,3.384657437
,Texas,48,2012,2012,939,26059203,3.6,3.603333532
,Texas,48,2013,2013,950,26448193,3.6,3.591927811
,Texas,48,2014,2014,1005,26956958,3.7,3.72816547
,Texas,48,2015,2015,1153,27469114,4.2,4.197441534
,Texas,48,2016,2016,1269,27862596,4.6,4.554493056
,Texas,48,2017,2017,1286,28304596,4.5,4.543431745
,Texas,48,2018,2018,1182,28701845,4.1,4.118202157
Total,Texas,48,,,20600,490548174,4.2,4.199383688
,Utah,49,1999,1999,31,2203482,1.4,1.406864227
,Utah,49,2000,2000,17,2233169,Unreliable,0.7612500442
,Utah,49,2001,2001,44,2283715,1.9,1.926685248
,Utah,49,2002,2002,27,2324815,1.2,1.161382734
,Utah,49,2003,2003,42,2360137,1.8,1.779557712
,Utah,49,2004,2004,34,2401580,1.4,1.415734641
,Utah,49,2005,2005,34,2457719,1.4,1.383396556
,Utah,49,2006,2006,31,2525507,1.2,1.227476305
,Utah,49,2007,2007,43,2597746,1.7,1.655281155
,Utah,49,2008,2008,29,2663029,1.1,1.088985512
,Utah,49,2009,2009,32,2723421,1.2,1.174992776
,Utah,49,2010,2010,31,2763885,1.1,1.121609618
,Utah,49,2011,2011,28,2817222,1,0.9938868857
,Utah,49,2012,2012,31,2855287,1.1,1.08570522
,Utah,49,2013,2013,35,2900872,1.2,1.20653376
,Utah,49,2014,2014,43,2942902,1.5,1.461142777
,Utah,49,2015,2015,45,2995919,1.5,1.50204328
,Utah,49,2016,2016,51,3051217,1.7,1.671464206
,Utah,49,2017,2017,54,3101833,1.7,1.740906103
,Utah,49,2018,2018,35,3161105,1.1,1.107207764
Total,Utah,49,,,717,53364562,1.3,1.343588279
,Vermont,50,1999,1999,10,604683,Unreliable,1.653759077
,Vermont,50,2015,2015,11,626042,Unreliable,1.757070612
,Vermont,50,2018,2018,10,626299,Unreliable,1.596681457
Total,Vermont,50,,,141,12427476,1.1,1.134582758
,Virginia,51,1999,1999,304,7000174,4.3,4.342749195
,Virginia,51,2000,2000,299,7078515,4.2,4.224049818
,Virginia,51,2001,2001,288,7198362,4,4.000910207
,Virginia,51,2002,2002,304,7286873,4.2,4.171885526
,Virginia,51,2003,2003,348,7366977,4.7,4.723782903
,Virginia,51,2004,2004,311,7475575,4.2,4.160215101
,Virginia,51,2005,2005,359,7577105,4.7,4.737957307
,Virginia,51,2006,2006,297,7673725,3.9,3.870349798
,Virginia,51,2007,2007,318,7751000,4.1,4.102696426
,Virginia,51,2008,2008,262,7833496,3.3,3.344611397
,Virginia,51,2009,2009,285,7925937,3.6,3.595789368
,Virginia,51,2010,2010,284,8001024,3.5,3.549545658
,Virginia,51,2011,2011,242,8096604,3,2.988907448
,Virginia,51,2012,2012,235,8185867,2.9,2.87080159
,Virginia,51,2013,2013,243,8260405,2.9,2.941744382
,Virginia,51,2014,2014,247,8326289,3,2.966507648
,Virginia,51,2015,2015,290,8382993,3.5,3.459384971
,Virginia,51,2016,2016,362,8411808,4.3,4.303474354
,Virginia,51,2017,2017,350,8470020,4.1,4.132221648
,Virginia,51,2018,2018,344,8517685,4,4.038656043
Total,Virginia,51,,,5972,156820434,3.8,3.808177192
,Washington,53,1999,1999,120,5842564,2.1,2.053892777
,Washington,53,2000,2000,120,5894121,2,2.035926986
,Washington,53,2001,2001,110,5985722,1.8,1.837706462
,Washington,53,2002,2002,119,6052349,2,1.966178751
,Washington,53,2003,2003,117,6104115,1.9,1.916739773
,Washington,53,2004,2004,134,6178645,2.2,2.168760303
,Washington,53,2005,2005,151,6257305,2.4,2.413179476
,Washington,53,2006,2006,132,6370753,2.1,2.071968573
,Washington,53,2007,2007,127,6461587,2,1.965461426
,Washington,53,2008,2008,136,6562231,2.1,2.072465904
,Washington,53,2009,2009,122,6667426,1.8,1.829791587
,Washington,53,2010,2010,123,6724540,1.8,1.829121397
,Washington,53,2011,2011,94,6830038,1.4,1.376273456
,Washington,53,2012,2012,134,6897012,1.9,1.942870333
,Washington,53,2013,2013,127,6971406,1.8,1.82172721
,Washington,53,2014,2014,124,7061530,1.8,1.75599339
,Washington,53,2015,2015,164,7170351,2.3,2.287196261
,Washington,53,2016,2016,148,7288000,2,2.030735456
,Washington,53,2017,2017,171,7405743,2.3,2.309018825
,Washington,53,2018,2018,182,7535591,2.4,2.41520539
Total,Washington,53,,,2655,132261029,2,2.00739403
,West Virginia,54,1999,1999,73,1811799,4,4.029144513
,West Virginia,54,2000,2000,62,1808344,3.4,3.428551205
,West Virginia,54,2001,2001,50,1801481,2.8,2.775494163
,West Virginia,54,2002,2002,78,1805414,4.3,4.320338715
,West Virginia,54,2003,2003,70,1812295,3.9,3.862505828
,West Virginia,54,2004,2004,57,1816438,3.1,3.138009665
,West Virginia,54,2005,2005,70,1820492,3.8,3.845114398
,West Virginia,54,2006,2006,70,1827912,3.8,3.829506016
,West Virginia,54,2007,2007,59,1834052,3.2,3.216920785
,West Virginia,54,2008,2008,63,1840310,3.4,3.423336286
,West Virginia,54,2009,2009,73,1847775,4,3.95069746
,West Virginia,54,2010,2010,57,1852994,3.1,3.076102783
,West Virginia,54,2011,2011,70,1855364,3.8,3.772844574
,West Virginia,54,2012,2012,68,1855413,3.7,3.664952224
,West Virginia,54,2013,2013,45,1854304,2.4,2.426786546
,West Virginia,54,2014,2014,59,1850326,3.2,3.188627301
,West Virginia,54,2015,2015,50,1844128,2.7,2.711308543
,West Virginia,54,2016,2016,81,1831102,4.4,4.4235657
,West Virginia,54,2017,2017,74,1815857,4.1,4.075210768
,West Virginia,54,2018,2018,74,1805832,4.1,4.097834129
Total,West Virginia,54,,,1303,36591632,3.6,3.560923437
,Wisconsin,55,1999,1999,143,5332666,2.7,2.681585533
,Wisconsin,55,2000,2000,125,5363675,2.3,2.330491687
,Wisconsin,55,2001,2001,149,5406835,2.8,2.755771167
,Wisconsin,55,2002,2002,130,5445162,2.4,2.387440447
,Wisconsin,55,2003,2003,151,5479203,2.8,2.755875261
,Wisconsin,55,2004,2004,99,5514026,1.8,1.795421349
,Wisconsin,55,2005,2005,166,5546166,3,2.993058628
,Wisconsin,55,2006,2006,115,5577655,2.1,2.061798372
,Wisconsin,55,2007,2007,140,5610775,2.5,2.49519897
,Wisconsin,55,2008,2008,89,5640996,1.6,1.577735563
,Wisconsin,55,2009,2009,104,5669264,1.8,1.834453291
,Wisconsin,55,2010,2010,110,5686986,1.9,1.934240738
,Wisconsin,55,2011,2011,90,5711767,1.6,1.575694527
,Wisconsin,55,2012,2012,127,5726398,2.2,2.217799042
,Wisconsin,55,2013,2013,125,5742713,2.2,2.176671549
,Wisconsin,55,2014,2014,127,5757564,2.2,2.205793978
,Wisconsin,55,2015,2015,183,5771337,3.2,3.170842389
,Wisconsin,55,2016,2016,194,5778708,3.4,3.357151806
,Wisconsin,55,2017,2017,168,5795483,2.9,2.898809297
,Wisconsin,55,2018,2018,159,5813568,2.7,2.73498134
Total,Wisconsin,55,,,2694,112370947,2.4,2.397416834
,Wyoming,56,2002,2002,12,500017,Unreliable,2.399918403
,Wyoming,56,2003,2003,11,503453,Unreliable,2.184911005
,Wyoming,56,2005,2005,15,514157,Unreliable,2.917396826
,Wyoming,56,2009,2009,14,559851,Unreliable,2.500665356
,Wyoming,56,2011,2011,12,568158,Unreliable,2.112088539
,Wyoming,56,2012,2012,13,576412,Unreliable,2.255331256
,Wyoming,56,2013,2013,11,582658,Unreliable,1.887899934
,Wyoming,56,2014,2014,12,584153,Unreliable,2.054256334
,Wyoming,56,2015,2015,17,586107,Unreliable,2.900494278
,Wyoming,56,2016,2016,13,585501,Unreliable,2.220320717
,Wyoming,56,2017,2017,11,579315,Unreliable,1.898794266
,Wyoming,56,2018,2018,15,577737,Unreliable,2.596337088
Total,Wyoming,56,,,216,10874056,2,1.986379323
Total,,,,,254047,6088633001,4.2,4.172480095
