,State,Year,Population,deaths_t,rate_t,deaths_s,rate_s,deaths_h,rate_h,deaths_l,rate_l
0,Texas,1999.0,20558220,2117,10.297584129365285,1224.0,5.953822850421875,860,4.183241545231056,10,0.04864234354919832
1,Texas,2000.0,20851820,2168,10.39717396371156,1269.0,6.085799704773971,864,4.143523203250364,23,0.11030212230874811
2,Texas,2001.0,21319622,2350,11.022709502072786,1377.0,6.458838716746479,931,4.366869168693516,29,0.1360249257702599
3,Texas,2002.0,21690325,2301,10.60841642529561,1315.0,6.062610864521393,942,4.342950140212284,28,0.12908981308486617
4,Texas,2003.0,22030931,2432,11.039025087046934,1350.0,6.1277483007867435,1031,4.679784072674913,37,0.16794569416971075
5,Texas,2004.0,22394023,2342,10.458147694141424,1318.0,5.885499001229033,986,4.402960557823844,19,0.08484406754427286
6,Texas,2005.0,22778123,2490,10.93154163756162,1381.0,6.062834940350441,1071,4.701879957360841,25,0.10975443411206445
7,Texas,2006.0,23359580,2422,10.368337101951319,1311.0,5.612258439578109,1078,4.614808999134402,20,0.08561797772048983
8,Texas,2007.0,23831983,2561,10.746063388850185,1411.0,5.920615166601957,1107,4.645018419155469,24,0.10070500637735433
9,Texas,2008.0,24309039,2598,10.687382582256749,1506.0,6.195226392947907,1052,4.327608343546612,24,0.09872870745733717
10,Texas,2009.0,24801761,2691,10.850036011555792,1583.0,6.382611299254114,1058,4.265826124201423,26,0.10483126581213326
11,Texas,2010.0,25145561,2714,10.7931574881149,1702.0,6.768590289156802,967,3.8456091713364438,21,0.0835137462234388
12,Texas,2011.0,25674681,2599,10.12281321041535,1684.0,6.558990937414179,869,3.3846574374185994,25,0.09737219325139813
13,Texas,2012.0,26059203,2743,10.526031820696895,1744.0,6.692453334048627,939,3.6033335324952187,28,0.10744764527142292
14,Texas,2013.0,26448193,2778,10.503553116086229,1780.0,6.7301384257139985,950,3.5919278114765723,28,0.10586734602246739
15,Texas,2014.0,26956958,2848,10.564990307882663,1789.0,6.636505498877136,1005,3.728165470302695,24,0.0890308172012584
16,Texas,2015.0,27469114,3203,11.660368805488229,1994.0,7.259061941349837,1153,4.19744153378955,24,0.08737085586378941
17,Texas,2016.0,27862596,3353,12.034054543948454,2016.0,7.235506698657943,1269,4.554493055851651,35,0.12561643574058928
18,Texas,2017.0,28304596,3513,12.411411913457448,2158.0,7.62420350391152,1286,4.543431745148385,37,0.13072082003926147
19,Texas,2018.0,28701845,3522,12.270988154245833,2263.0,7.884510560209631,1182,4.118202157387443,39,0.1358797666143065
20,Maryland,1999.0,5254509,657,12.503546953673503,241.0,4.586537010403826,397,7.555415739129955,14,0.26643783462926796
21,Maryland,2000.0,5296486,617,11.6492330953013,245.0,4.6257084414081335,355,6.702557129387296,13,0.24544575403390098
22,Maryland,2001.0,5374691,607,11.293672510661542,220.0,4.093258570585732,373,6.939933849220355,0,0.0
23,Maryland,2002.0,5440389,615,11.304338715485235,233.0,4.282781984891154,371,6.81936530641467,0,0.0
24,Maryland,2003.0,5496269,648,11.789815964247747,239.0,4.348404344838289,398,7.241275854584265,0,0.0
25,Maryland,2004.0,5546935,656,11.826350948767201,250.0,4.506993501816769,397,7.15710568088503,0,0.0
26,Maryland,2005.0,5592379,657,11.748130804439398,220.0,3.9339250791121274,423,7.563865038474681,10,0.17881477632327852
27,Maryland,2006.0,5627367,678,12.048263424084478,238.0,4.229331408454433,419,7.445755714884066,18,0.31986540063941094
28,Maryland,2007.0,5653408,678,11.992766133277485,233.0,4.1214078304626165,429,7.588343172826019,15,0.26532668436454615
29,Maryland,2008.0,5684965,665,11.697521444723055,263.0,4.626237804454381,380,6.6842979684131745,20,0.3518051562322723
30,Maryland,2009.0,5730388,586,10.226183637128935,252.0,4.397607980471828,318,5.5493624515477835,14,0.24431155447065714
31,Maryland,2010.0,5773552,538,9.318353762120788,222.0,3.845119953886273,309,5.351991287166029,0,0.0
32,Maryland,2011.0,5828289,542,9.299470221878153,242.0,4.152161980986187,279,4.786996664029529,20,0.3431538827261311
33,Maryland,2012.0,5884563,589,10.00923942865426,272.0,4.622263369429471,297,5.047103752649092,18,0.3058850759181268
34,Maryland,2013.0,5928814,578,9.748998703619307,257.0,4.334762399360142,305,5.14436782803441,14,0.23613491669666142
35,Maryland,2014.0,5976407,546,9.135923975726552,277.0,4.634891833839295,250,4.183115373501169,17,0.2844518453980795
36,Maryland,2015.0,6006401,708,11.787424782328053,244.0,4.062332834587634,447,7.442060561724067,12,0.19978686071742463
37,Maryland,2016.0,6016447,707,11.751121550642763,251.0,4.171897467059877,438,7.280044185546719,17,0.28255879258971284
38,Maryland,2017.0,6052177,742,12.260051217933645,271.0,4.477727601159054,458,7.567524875759582,0,0.0
39,Maryland,2018.0,6042718,707,11.700032998395756,266.0,4.401992613257809,430,7.1160030966197665,10,0.16548844410743643
40,Vermont,1999.0,604683,57,9.426426739299766,46.0,7.607291754522618,10,1.6537590770701343,0,0.0
41,Vermont,2000.0,608827,55,9.033764928296543,47.0,7.719762756907956,0,0.0,0,0.0
42,Vermont,2001.0,612223,51,8.330297946989903,42.0,6.860245368109332,0,0.0,0,0.0
43,Vermont,2002.0,615442,62,10.074060593849623,54.0,8.774181807546446,0,0.0,0,0.0
44,Vermont,2003.0,617858,48,7.768775349675815,38.0,6.150280485160021,0,0.0,0,0.0
45,Vermont,2004.0,619920,61,9.839979352174474,56.0,9.033423667570009,0,0.0,0,0.0
46,Vermont,2005.0,621215,44,7.082894006100948,36.0,5.795095095900775,0,0.0,0,0.0
47,Vermont,2006.0,622892,54,8.6692396113612,43.0,6.903283394232066,0,0.0,0,0.0
48,Vermont,2007.0,623481,52,8.34027019267628,43.0,6.896761890097693,0,0.0,0,0.0
49,Vermont,2008.0,624151,54,8.65175254065122,44.0,7.049576144234328,0,0.0,0,0.0
50,Vermont,2009.0,624817,60,9.602811703266717,59.0,9.442764841545605,0,0.0,0,0.0
51,Vermont,2010.0,625741,70,11.186737004607338,66.0,10.547494890058347,0,0.0,0,0.0
52,Vermont,2011.0,626431,78,12.45149106605516,70.0,11.174415059280271,0,0.0,0,0.0
53,Vermont,2012.0,626011,56,8.945529711139262,50.0,7.987080099231483,0,0.0,0,0.0
54,Vermont,2013.0,626630,65,10.372947353302587,59.0,9.415444520690041,0,0.0,0,0.0
55,Vermont,2014.0,626562,69,11.012477615942236,59.0,9.416466367254957,0,0.0,0,0.0
56,Vermont,2015.0,626042,70,11.181358439210149,59.0,9.424287827334268,11,1.7570706118758805,0,0.0
57,Vermont,2016.0,624594,78,12.488112277735617,69.0,11.047176245689199,0,0.0,0,0.0
58,Vermont,2017.0,623657,70,11.22411838558695,62.0,9.941361998662726,0,0.0,0,0.0
59,Vermont,2018.0,626299,82,13.092787949525706,70.0,11.176770200814627,10,1.5966814572592325,0,0.0
60,Illinois,1999.0,12359020,1209,9.782329019614824,481.0,3.8918943411370805,711,5.752883319227577,0,0.0
61,Illinois,2000.0,12419293,1130,9.09874660336945,431.0,3.470406890311711,686,5.523663867178269,0,0.0
62,Illinois,2001.0,12488445,1289,10.321541232715521,505.0,4.04373803143626,767,6.141677366557646,0,0.0
63,Illinois,2002.0,12525556,1231,9.827907040613606,466.0,3.720393729428059,745,5.947839760566318,0,0.0
64,Illinois,2003.0,12556006,1146,9.127106183287902,404.0,3.2175836806704297,719,5.7263432336684135,0,0.0
65,Illinois,2004.0,12589773,994,7.895297238480789,387.0,3.073923572728436,591,4.694286386259704,0,0.0
66,Illinois,2005.0,12609903,1019,8.080950345137468,424.0,3.362436649988505,590,4.678862319559476,0,0.0
67,Illinois,2006.0,12643955,1036,8.193638778372748,372.0,2.942117399184037,649,5.1328876130925805,0,0.0
68,Illinois,2007.0,12695866,1032,8.128630217111617,423.0,3.331793199455634,596,4.694441481975314,0,0.0
69,Illinois,2008.0,12747038,1105,8.668680520133384,438.0,3.436092369066445,649,5.091378875625852,11,0.08629455721399748
70,Illinois,2009.0,12796778,1058,8.267706136654086,402.0,3.1414157532466374,642,5.016887844737168,10,0.07814467047877208
71,Illinois,2010.0,12830632,1064,8.292654640862585,442.0,3.44488096923051,599,4.668515159658543,10,0.07793848346675362
72,Illinois,2011.0,12869257,1114,8.656288393339258,461.0,3.5821803853944325,630,4.895387511493476,17,0.13209775824664935
