year,state,totals,pop_est
2016,North Carolina,601445,10154788
2016,North Dakota,72036,754434
2016,Ohio,875724,11634370
2016,Oklahoma,364590,3926331
2016,Oregon,324708,4089976
2016,Pennsylvania,1143220,12782275
2016,Puerto Rico,15861,3406672
2016,Rhode Island,27758,1056770
2016,South Carolina,402978,4957968
2016,South Dakota,111921,862996
2016,Tennessee,714774,6646010
2016,Texas,1721726,27914410
2016,Utah,294907,3041868
2016,Vermont,39417,623657
2016,Virgin Islands,1087,[]
2016,Virginia,528369,8410106
2016,Washington,713996,7294771
2016,West Virginia,242350,1831023
2016,Wisconsin,561819,5772628
2016,Wyoming,63594,584215
2017,Alabama,477345,4874486
2017,Alaska,80839,739700
2017,Arizona,384930,7044008
2017,Arkansas,237629,3001345
2017,California,1570110,39358497
2017,Colorado,496995,5611885
2017,Connecticut,181779,3573297
2017,Delaware,50639,956823
2017,District of Columbia,1540,694906
2017,Florida,1276549,20963613
2017,Georgia,541655,10410330
2017,Guam,1815,[]
2017,Hawaii,12742,1424393
2017,Idaho,182099,1717715
2017,Illinois,1601087,12778828
2017,Indiana,830357,6658078
2017,Iowa,160981,3141550
2017,Kansas,191451,2908718
2017,Kentucky,4641480,4452268
2017,Louisiana,329201,4670560
2017,Maine,96590,1334612
2017,Mariana Islands,159,[]
2017,Maryland,158659,6023868
2017,Massachusetts,206492,6859789
2017,Michigan,513243,9973114
2017,Minnesota,683544,5566230
2017,Mississippi,251852,2988510
2017,Missouri,524973,6106670
2017,Montana,123938,1052482
2017,Nebraska,74318,1915947
2017,Nevada,129622,2969905
2017,New Hampshire,129090,1348787
2017,New Jersey,103739,8885525
2017,New Mexico,159779,2091784
2017,New York,382495,19589572
2017,North Carolina,537813,10268233
2017,North Dakota,66977,754942
2017,Ohio,753072,11659650
2017,Oklahoma,334351,3931316
2017,Oregon,341167,4143625
2017,Pennsylvania,1062651,12787641
2017,Puerto Rico,18811,3325286
2017,Rhode Island,24677,1055673
2017,South Carolina,396920,5021268
2017,South Dakota,98573,872868
2017,Tennessee,767953,6708799
2017,Texas,1549434,28295273
2017,Utah,270477,3101042
2017,Vermont,37610,624344
2017,Virgin Islands,1210,[]
2017,Virginia,520827,8463587
2017,Washington,579678,7423362
2017,West Virginia,222768,1817004
2017,Wisconsin,526523,5790186
2017,Wyoming,54711,578931
2018,Alabama,474294,4887681
2018,Alaska,78761,735139
2018,Arizona,377838,7158024
2018,Arkansas,248439,3009733
2018,California,1297132,39461588
2018,Colorado,524770,5691287
2018,Connecticut,177690,3571520
2018,Delaware,47723,965479
2018,District of Columbia,3244,701547
2018,Florida,1203145,21244317
2018,Georgia,549532,10511131
2018,Guam,1858,[]
2018,Hawaii,14088,1420593
2018,Idaho,207320,1750536
2018,Illinois,2831447,12723071
2018,Indiana,896148,6695497
2018,Iowa,189159,3148618
2018,Kansas,172047,2911359
2018,Kentucky,4912441,4461153
2018,Louisiana,307192,4659690
2018,Maine,93360,1339057
2018,Mariana Islands,179,[]
2018,Maryland,151470,6035802
2018,Massachusetts,211295,6882635
2018,Michigan,489957,9984072
2018,Minnesota,604078,5606249
2018,Mississippi,247278,2981020
2018,Missouri,496184,6121623
2018,Montana,117607,1060665
2018,Nebraska,74477,1925614
2018,Nevada,127434,3027341
2018,New Hampshire,120889,1353465
2018,New Jersey,93124,8886025
2018,New Mexico,156853,2092741
2018,New York,358614,19530351
2018,North Carolina,529916,10381615
2018,North Dakota,62334,758080
2018,Ohio,717475,11676341
2018,Oklahoma,332291,3940235
2018,Oregon,359682,4181886
2018,Pennsylvania,1021943,12800922
2018,Puerto Rico,29275,3193354
2018,Rhode Island,25030,1058287
2018,South Carolina,280749,5084156
2018,South Dakota,90693,878698
2018,Tennessee,694101,6771631
2018,Texas,1571632,28628666
2018,Utah,295858,3153550
2018,Vermont,41550,624358
2018,Virgin Islands,1436,[]
2018,Virginia,476760,8501286
2018,Washington,627301,7523869
2018,West Virginia,241678,1804291
2018,Wisconsin,452520,5807406
2018,Wyoming,60150,577601
2019,Alabama,690084,4903185
2019,Alaska,76923,731545
2019,Arizona,372912,7278717
2019,Arkansas,221344,3017804
2019,California,1240632,39512223
2019,Colorado,469535,5758736
2019,Connecticut,172935,3565287
2019,Delaware,46427,973764
2019,District of Columbia,5926,705749
2019,Florida,1195539,21477737
2019,Georgia,539113,10617423
2019,Guam,2397,[]
2019,Hawaii,12666,1415872
2019,Idaho,209275,1787065
2019,Illinois,4949570,12671821
2019,Indiana,1450565,6732219
2019,Iowa,182802,3155070
2019,Kansas,167010,2913314
2019,Kentucky,4120892,4467673
2019,Louisiana,282264,4648794
2019,Maine,90626,1344212
2019,Mariana Islands,189,[]
2019,Maryland,148813,6045680
2019,Massachusetts,212316,6892503
2019,Michigan,492171,9986857
2019,Minnesota,682356,5639632
2019,Mississippi,238388,2976149
2019,Missouri,497858,6137428
2019,Montana,115823,1068778
2019,Nebraska,68236,1934408
2019,Nevada,128312,3080156
2019,New Hampshire,112173,1359711
2019,New Jersey,91257,8882190
2019,New Mexico,156829,2096829
2019,New York,355374,19453561
2019,North Carolina,530365,10488084
2019,North Dakota,60389,762062
2019,Ohio,638495,11689100
2019,Oklahoma,360043,3956971
2019,Oregon,357700,4217737
2019,Pennsylvania,987886,12801989
2019,Puerto Rico,28635,3193694
2019,Rhode Island,24338,1059361
2019,South Carolina,328221,5148714
2019,South Dakota,85426,884659
2019,Tennessee,635313,6829174
2019,Texas,1487212,28995881
2019,Utah,823270,3205958
2019,Vermont,35843,623989
2019,Virgin Islands,1544,[]
2019,Virginia,512766,8535519
2019,Washington,607170,7614893
2019,West Virginia,206196,1792147
2019,Wisconsin,435685,5822434
2019,Wyoming,61291,578759
2020,Alabama,318068,
2020,Alaska,28671,
2020,Arizona,213081,
2020,Arkansas,102797,
2020,California,479493,
2020,Colorado,212236,
2020,Connecticut,68635,
2020,Delaware,22627,
2020,District of Columbia,2461,
2020,Florida,547161,
2020,Georgia,243707,
2020,Guam,967,
2020,Hawaii,6107,
2020,Idaho,87753,
2020,Illinois,2510151,
2020,Indiana,382682,
2020,Iowa,94249,
2020,Kansas,81923,
2020,Kentucky,1206389,
2020,Louisiana,121956,
2020,Maine,41582,
2020,Mariana Islands,55,
2020,Maryland,79343,
2020,Massachusetts,68273,
2020,Michigan,256073,
2020,Minnesota,289917,
2020,Mississippi,108372,
2020,Missouri,226574,
2020,Montana,51522,
2020,Nebraska,32308,
2020,Nevada,65000,
2020,New Hampshire,58806,
2020,New Jersey,36855,
2020,New Mexico,65958,
2020,New York,151075,
2020,North Carolina,256613,
2020,North Dakota,26303,
2020,Ohio,301838,
2020,Oklahoma,158564,
2020,Oregon,169113,
2020,Pennsylvania,382611,
2020,Puerto Rico,4689,
2020,Rhode Island,15455,
2020,South Carolina,156730,
2020,South Dakota,34783,
2020,Tennessee,277536,
2020,Texas,743658,
2020,Utah,361963,
2020,Vermont,19335,
2020,Virgin Islands,391,
2020,Virginia,284187,
2020,Washington,230863,
2020,West Virginia,87691,
2020,Wisconsin,213334,
2020,Wyoming,27897,
