year,state,totals,pop_est
2002,North Dakota,31339,
2002,Ohio,297033,
2002,Oklahoma,159489,
2002,Oregon,137513,
2002,Pennsylvania,567702,
2002,Puerto Rico,8148,
2002,Rhode Island,9521,
2002,South Carolina,121976,
2002,South Dakota,44282,
2002,Tennessee,223048,
2002,Texas,664745,
2002,Utah,61710,
2002,Vermont,20483,
2002,Virgin Islands,1,
2002,Virginia,191789,
2002,Washington,193439,
2002,West Virginia,134846,
2002,Wisconsin,173779,
2002,Wyoming,33585,
2003,Alabama,225479,
2003,Alaska,37059,
2003,Arizona,145719,
2003,Arkansas,150249,
2003,California,524431,
2003,Colorado,181257,
2003,Connecticut,100567,
2003,Delaware,16361,
2003,District of Columbia,11,
2003,Florida,298181,
2003,Georgia,282218,
2003,Guam,379,
2003,Hawaii,7439,
2003,Idaho,74669,
2003,Illinois,515917,
2003,Indiana,183853,
2003,Iowa,95127,
2003,Kansas,97365,
2003,Kentucky,226869,
2003,Louisiana,175693,
2003,Maine,50897,
2003,Mariana Islands,6,
2003,Maryland,78270,
2003,Massachusetts,131395,
2003,Michigan,342161,
2003,Minnesota,229728,
2003,Mississippi,150877,
2003,Missouri,202865,
2003,Montana,80786,
2003,Nebraska,44758,
2003,Nevada,49432,
2003,New Hampshire,54724,
2003,New Jersey,41733,
2003,New Mexico,79140,
2003,New York,150831,
2003,North Carolina,264488,
2003,North Dakota,33393,
2003,Ohio,298632,
2003,Oklahoma,167551,
2003,Oregon,142960,
2003,Pennsylvania,515896,
2003,Puerto Rico,7906,
2003,Rhode Island,9660,
2003,South Carolina,121352,
2003,South Dakota,47683,
2003,Tennessee,219783,
2003,Texas,688275,
2003,Utah,70507,
2003,Vermont,19971,
2003,Virgin Islands,0,
2003,Virginia,200270,
2003,Washington,213916,
2003,West Virginia,131777,
2003,Wisconsin,188594,
2003,Wyoming,33184,
2004,Alabama,229997,
2004,Alaska,40504,
2004,Arizona,155719,
2004,Arkansas,158366,
2004,California,548843,
2004,Colorado,194191,
2004,Connecticut,100916,
2004,Delaware,16424,
2004,District of Columbia,14,
2004,Florida,318024,
2004,Georgia,232203,
2004,Guam,439,
2004,Hawaii,7298,
2004,Idaho,75553,
2004,Illinois,590417,
2004,Indiana,176520,
2004,Iowa,98517,
2004,Kansas,99007,
